business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,main_category,sub_category_1,sub_category_2
fBdZXMF0QyhehC_fri4JZg,Charlie's Down Under,1950 N Buffalo Dr,Las Vegas,NV,89128,36.1950655,-115.2596746,4.0,53,Bars,Sports Bars,Nightlife
FvCGKYkCO4hgUhjmSB9v_w,Motor Certified Co,"7035 W Sahara Ave, Ste 100",Las Vegas,NV,89117,36.1436073,-115.2457084,4.0,11,Motorcycle Dealers,Automotive,""
Z6PHrbbjuUyaRqc5cauWNg,Fletcher Jones Imports,7300 W Sahara Ave,Las Vegas,NV,89117,36.1448873,-115.2530326,4.0,202,Car Dealers,Automotive,""
5RTL-ZQ8LS6gN3TLpJmDkg,Nayar Sonora Taqueria Mexican Food,"3380 E Russell, Ste 107",Las Vegas,NV,89120,36.0871503,-115.1016125,5.0,5,Mexican,Restaurants,""
qdc_pmdSUF2gQ4QFww9gJw,Sprint by Experts Choice,"4145 S Grand Canyon Dr, Ste 107",Las Vegas,NV,89147,36.1145935,-115.3075136,4.0,13,Mobile Phone Accessories,Mobile Phones,Shopping
oJicZ-4Pvb26veSG1B54KA,Reel Smiles Dental,"7785 N Durango Dr, Ste 140",Las Vegas,NV,89131,36.3027192,-115.2822117,4.0,20,Dentists,General Dentistry,Health & Medical
LwQB9H3jZ9wTk24Lr-AnZQ,Spago by Wolfgang Puck,"The Forum Shops At Caesars, 3500 Las Vegas Blvd S, Ste G1",Las Vegas,NV,89109,36.118831,-115.175638,4.0,1056,Pizza,American (Traditional),American (New)
DWgJVCGmeFdDER7Lif164Q,Wild Things,4130 S Sandhill Rd,Las Vegas,NV,89121,36.115371,-115.0928722,4.5,18,Shopping,Jewelry,Home Decor
4TgAjM5Mamp0Qqz1vQz6nw,Cutter Law Firm,"6787 W Tropicana Ave, Ste 268",Las Vegas,NV,89103,36.0998066,-115.2402947,3.5,5,Estate Planning Law,Divorce & Family Law,Lawyers
rnkFJ_B641-JPse9tZas-g,American Eagle Outfitters,3200 Las Vegas Blvd S,Las Vegas,NV,89109,36.1274877688,-115.172866156,2.5,7,Men's Clothing,Shoe Stores,Shopping
7rG2mT_0CSG_iy6LBYv9rw,Old Navy,2180 N Rainbow Blvd,Las Vegas,NV,89108,36.1989589,-115.2407961,3.0,48,Children's Clothing,Women's Clothing,Men's Clothing
xVo_Qy9vS3yszXMUKCuQAg,Lighthouse Tattoo Supply,"1750 S Rainbow Blvd, Ste 18",Las Vegas,NV,89146,36.1527867,-115.2423672,4.5,6,Shopping,Cosmetics & Beauty Supply,Beauty & Spas
h3A6jDf1kvULin-qaSO8Wg,Plaza Offices,"10161 W Park Run Dr, Ste 150",Las Vegas,NV,89145,36.1608307,-115.316928,3.5,3,Shared Office Spaces,Home Services,Professional Services
w7lqZQKc75V3wlTl_kuHDg,Brews & Blues Festival,333 S Valley View Blvd,Las Vegas,NV,89152,36.17046,-115.20942,4.0,5,Festivals,Arts & Entertainment,""
O7uA5Rlo4vIVoh7KthEEXg,Bulwark Exterminating,2129 Industrial Rd,Las Vegas,NV,89102,36.1468991,-115.1624911,5.0,373,Local Services,Pest Control,""
awI4hHMfa7H0Xf0-ChU5hg,Oyster Bar,2411 W Sahara Ave,Las Vegas,NV,89102,36.1427819,-115.1747468,4.5,2125,Restaurants,Bars,Seafood
uNnqRx6HAyEO6ErfQes86A,Supercuts,"8414 W Farm Rd, Tule Springs Shopping Ctr",Las Vegas,NV,89131,36.301049,-115.279572,4.0,25,Hair Stylists,Cosmetics & Beauty Supply,Barbers
uyNZjWy-gBplcImjpowtIw,Southern Cove,1700 E Viking Rd,Las Vegas,NV,89119,36.1185806,-115.1293762,1.5,3,Home Services,Apartments,Real Estate
UX1mbYnDnod1XHf_UBvH8A,9037 Salon,9037 W Sahara Ave,Las Vegas,NV,89117,36.143839,-115.2942607,4.5,178,Beauty & Spas,Hair Salons,Makeup Artists
6-S1RoMAqOL9uKfEamLEsw,White House Black Market,"3663 Las Vegas Blvd S, Ste 340, Miracle Mile Shops",Las Vegas,NV,89109,36.1107323,-115.1722365,4.5,10,Fashion,Women's Clothing,Shopping
idMaZn9ZWPGidH7te2Nikw,IQ Smog Express,6100 W Charleston Blvd,Las Vegas,NV,89146,36.1595363,-115.2243172,3.5,15,Smog Check Stations,Automotive,""
HGkw2jIdChZBDeg3i9zctA,H & M Unlimited,1791 Juniper Twig Ave,Las Vegas,NV,89183,36.009004,-115.12804,3.5,4,Home Services,Handyman,Contractors
opkUFBZYI_Z5pD32CErZ9Q,The Home Depot,4195 S Fort Apache Rd,Las Vegas,NV,89147,36.113644728,-115.29904604,3.0,64,Home Services,Building Supplies,Nurseries & Gardening
yOvl22iVeqK3_EJbu5Qpaw,McDonald's,4804 W Lone Mountain Rd,Las Vegas,NV,89130,36.2471433,-115.2080049,2.0,23,Food,Burgers,Coffee & Tea
JyANaAVhdRkl1ABMvbgNUw,Your Auto Service,3370 E Flamingo Rd,Las Vegas,NV,89121,36.1153043,-115.1016809,1.0,6,Auto Repair,Automotive,""
uOmllan8n6h8WjpSwQCbkA,San Antonio Shoemakers,"1750 N Buffalo Dr, Ste 101",Las Vegas,NV,89128,36.1906225,-115.2588414,5.0,4,Leather Goods,Shoe Stores,Shopping
jK_lUFDDXQIimiTNu3ECmQ,EC Solar Screens & Doors,Inwood Dr,Las Vegas,NV,89145,36.1612457,-115.2827902,5.0,4,Solar Installation,Web Design,Professional Services
vmZZavPJ95XRezZh-5yhxQ,Oasis Pool,3900 Las Vegas Blvd S,Las Vegas,NV,89119,36.0949009265,-115.173214815,3.0,21,Hotels & Travel,Resorts,""
